Section,ConTech,ConTeach,DigitalMat,TechTeach,Frameworks,Pathway
1,Agree,Agree,Agree,Agree,Agree,Agree
1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1,Agree,Agree,Agree,Agree,Agree,Agree
1,Agree,Agree,Disagree,Agree,Agree,Disagree
1,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
1,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree
1,Agree,Agree,Agree,Agree,Agree,Agree
1,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree
1,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
1,Strongly Agree,Agree,Agree,Disagree,Agree,Agree
1,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree
1,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
1,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
2,,,,,,
2,Agree,Agree,Agree,Agree,Agree,Agree
2,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
2,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree
2,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
2,Agree,Agree,Agree,Disagree,Agree,Agree
2,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
1,Agree,Agree,Agree,Strongly Agree,Agree,Agree
2,Agree,Agree,Agree,Agree,Agree,Agree
1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree
